"","sample.id","date","location","inshore.offshore","replicate","taxon.code","species.name.field","species.name.revised","group","8","5.6","4","2.8","2","1.4","1","0.71","0.5","notes","year","month","day"
"16",NA,2007-03-13,"Goodwin's","Inshore","A1",NA,"Cymadusa","Cymadusa compta","Crustacean",0,0,0,1,0,0,1,0,0,NA,"2007","03","13"
"17",NA,2007-03-13,"Goodwin's","Inshore","B1",NA,"Cymadusa","Cymadusa compta","Crustacean",0,0,0,1,0,0,1,1,0,NA,"2007","03","13"
"18",NA,2007-03-13,"Goodwin's","Inshore","C1",NA,"Cymadusa","Cymadusa compta","Crustacean",0,0,0,0,0,1,0,0,0,NA,"2007","03","13"
"19",NA,2007-03-13,"Goodwin's","Offshore","E1",NA,"Cymadusa","Cymadusa compta","Crustacean",0,0,0,0,1,0,0,0,0,NA,"2007","03","13"
"20",NA,2007-03-13,"Goodwin's","Inshore","B1",NA,"Erichnella","Erichsonella attenuata","Crustacean",0,0,0,1,0,0,0,0,0,NA,"2007","03","13"
"21",NA,2007-03-13,"Goodwin's","Inshore","C1",NA,"Erichsonella","Erichsonella attenuata","Crustacean",0,0,2,0,0,0,0,0,0,NA,"2007","03","13"
"22",NA,2007-03-13,"Goodwin's","Inshore","E1",NA,"Erichsonella","Erichsonella attenuata","Crustacean",0,0,0,0,1,0,1,0,0,NA,"2007","03","13"
"23",NA,2007-03-13,"Goodwin's","Offshore","C1",NA,"Erichsonella","Erichsonella attenuata","Crustacean",0,0,0,1,0,0,0,0,0,NA,"2007","03","13"
"24",NA,2007-03-13,"Goodwin's","Offshore","D1",NA,"Erichsonella","Erichsonella attenuata","Crustacean",0,0,0,1,0,0,0,0,0,NA,"2007","03","13"
"25",NA,2007-03-13,"Goodwin's","Offshore","E1",NA,"Erichsonella","Erichsonella attenuata","Crustacean",0,0,1,0,1,0,0,0,0,NA,"2007","03","13"
"26",NA,2007-03-13,"Goodwin's","Offshore","E1",NA,"ericthonius","Ericthonius sp.","Crustacean",0,0,0,0,0,0,0,1,0,NA,"2007","03","13"
"27",NA,2007-03-13,"Goodwin's","Inshore","A1",NA,"Gammarus","Gammarus mucronatus","Crustacean",0,0,0,1,5,13,28,15,5,NA,"2007","03","13"
"28",NA,2007-03-13,"Goodwin's","Inshore","B1",NA,"Gammarus","Gammarus mucronatus","Crustacean",0,0,0,1,1,5,9,13,2,NA,"2007","03","13"
"29",NA,2007-03-13,"Goodwin's","Inshore","C1",NA,"Gammarus","Gammarus mucronatus","Crustacean",0,0,0,2,1,4,11,5,1,NA,"2007","03","13"
"30",NA,2007-03-13,"Goodwin's","Inshore","E1",NA,"Gammarus","Gammarus mucronatus","Crustacean",0,0,0,1,0,7,23,11,4,NA,"2007","03","13"
"31",NA,2007-03-13,"Goodwin's","Offshore","A1",NA,"Gammarus","Gammarus mucronatus","Crustacean",0,0,1,0,3,7,4,3,0,NA,"2007","03","13"
"32",NA,2007-03-13,"Goodwin's","Offshore","B1",NA,"Gammarus","Gammarus mucronatus","Crustacean",0,0,0,0,1,1,5,3,6,NA,"2007","03","13"
"33",NA,2007-03-13,"Goodwin's","Offshore","C1",NA,"Gammarus","Gammarus mucronatus","Crustacean",0,0,1,0,7,6,5,3,1,NA,"2007","03","13"
"34",NA,2007-03-13,"Goodwin's","Offshore","D1",NA,"Gammarus","Gammarus mucronatus","Crustacean",0,0,0,1,1,0,0,1,0,NA,"2007","03","13"
"35",NA,2007-03-13,"Goodwin's","Offshore","E1",NA,"Gammarus","Gammarus mucronatus","Crustacean",0,0,0,0,5,13,3,7,0,NA,"2007","03","13"
"36",NA,2007-03-13,"Goodwin's","Inshore","B1",NA,"Longimana","Ampithoe longimana","Crustacean",0,0,0,0,0,0,0,1,0,NA,"2007","03","13"
"37",NA,2007-03-13,"Goodwin's","Offshore","C1",NA,"Nereid","Nereis sp.","Polychaete",0,0,0,0,0,0,0,1,0,NA,"2007","03","13"
"38",NA,2007-03-13,"Goodwin's","Inshore","A1",NA,"P. tenuis","Paracaprella tenuis","Caprellid",0,0,0,0,0,0,0,1,0,NA,"2007","03","13"
"39",NA,2007-03-13,"Goodwin's","Inshore","B1",NA,"P. tenuis","Paracaprella tenuis","Caprellid",0,0,0,0,0,1,0,1,0,NA,"2007","03","13"
"40",NA,2007-03-13,"Goodwin's","Inshore","E1",NA,"P. tenuis","Paracaprella tenuis","Caprellid",0,0,0,0,0,0,1,0,0,NA,"2007","03","13"
"41",NA,2007-03-13,"Goodwin's","Offshore","C1",NA,"P. tenuis","Paracaprella tenuis","Caprellid",0,0,0,0,0,0,0,1,0,NA,"2007","03","13"
"42",NA,2007-04-12,"Goodwin's","Offshore","A1",NA,"A. longimana","Ampithoe longimana","Crustacean",0,0,0,0,0,0,1,0,0,NA,"2007","04","12"
"43",NA,2007-04-12,"Goodwin's","Offshore","A1",NA,"A. valida","Ampithoe valida","Crustacean",0,0,1,0,0,0,0,0,0,NA,"2007","04","12"
"44",NA,2007-04-12,"Goodwin's","Offshore","E1",NA,"A. valida","Ampithoe valida","Crustacean",0,0,0,2,1,0,0,0,0,NA,"2007","04","12"
"45",NA,2007-04-12,"Goodwin's","Inshore","B1",NA,"bittium","Bittiolum varium","Mollusc",0,0,0,0,0,1,1,0,0,NA,"2007","04","12"
"46",NA,2007-04-12,"Goodwin's","Offshore","D1",NA,"Bittium","Bittiolum varium","Mollusc",0,0,0,0,0,1,1,0,0,NA,"2007","04","12"
"47",NA,2007-04-12,"Goodwin's","Offshore","A1",NA,"C. equilibria","Caprella equilibra","Caprellid",0,0,0,0,0,0,0,8,0,NA,"2007","04","12"
"48",NA,2007-04-12,"Goodwin's","Offshore","E1",NA,"C. equilibria","Caprella equilibra","Caprellid",0,0,0,0,0,0,1,0,0,NA,"2007","04","12"
"49",NA,2007-04-12,"Goodwin's","Offshore","A1",NA,"C. penantis","Caprella penantis","Caprellid",1,2,5,6,4,6,9,5,0,NA,"2007","04","12"
"50",NA,2007-04-12,"Goodwin's","Offshore","D1",NA,"C. penantis","Caprella penantis","Caprellid",0,1,4,1,5,1,3,1,0,NA,"2007","04","12"
"51",NA,2007-04-12,"Goodwin's","Offshore","E1",NA,"C. penantis","Caprella penantis","Caprellid",0,1,0,1,2,0,0,0,0,NA,"2007","04","12"
"52",NA,2007-04-12,"Goodwin's","Inshore","B1",NA,"crepidula","Crepidula fornicata","Mollusc",0,0,0,0,1,0,0,0,0,NA,"2007","04","12"
"53",NA,2007-04-12,"Goodwin's","Offshore","A1",NA,"Crepidula","Crepidula fornicata","Mollusc",0,0,0,1,7,4,1,0,0,NA,"2007","04","12"
"54",NA,2007-04-12,"Goodwin's","Offshore","D1",NA,"Crepidula","Crepidula fornicata","Mollusc",0,0,1,1,3,1,0,0,0,NA,"2007","04","12"
"55",NA,2007-04-12,"Goodwin's","Offshore","E1",NA,"Crepidula","Crepidula fornicata","Mollusc",0,0,0,1,0,0,0,0,0,NA,"2007","04","12"
"56",NA,2007-04-12,"Goodwin's","Inshore","B1",NA,"cymadusa","Cymadusa compta","Crustacean",0,0,0,1,0,0,0,0,0,NA,"2007","04","12"
"57",NA,2007-04-12,"Goodwin's","Offshore","D1",NA,"Edotea","Edotia triloba","Crustacean",0,0,0,0,0,0,0,1,0,NA,"2007","04","12"
"58",NA,2007-04-12,"Goodwin's","Offshore","E1",NA,"Edotea","Edotia triloba","Crustacean",0,0,0,0,0,0,1,0,0,NA,"2007","04","12"
"59",NA,2007-04-12,"Goodwin's","Offshore","A1",NA,"Edotea triloba","Edotia triloba","Crustacean",0,0,0,0,0,0,0,0,1,NA,"2007","04","12"
"60",NA,2007-04-12,"Goodwin's","Inshore","C1",NA,"Elasmopis","Elasmopus levis","Crustacean",0,0,0,0,2,0,0,0,0,NA,"2007","04","12"
"61",NA,2007-04-12,"Goodwin's","Inshore","A1",NA,"Erichsonella","Erichsonella attenuata","Crustacean",0,3,1,1,0,0,0,0,0,NA,"2007","04","12"
"62",NA,2007-04-12,"Goodwin's","Inshore","B1",NA,"Erichsonella","Erichsonella attenuata","Crustacean",2,0,1,1,0,0,0,0,0,NA,"2007","04","12"
"63",NA,2007-04-12,"Goodwin's","Inshore","C1",NA,"Erichsonella","Erichsonella attenuata","Crustacean",0,2,1,2,0,0,1,0,0,NA,"2007","04","12"
"64",NA,2007-04-12,"Goodwin's","Offshore","A1",NA,"Erichsonella","Erichsonella attenuata","Crustacean",2,0,7,1,0,0,0,0,0,NA,"2007","04","12"
"65",NA,2007-04-12,"Goodwin's","Offshore","D1",NA,"Erichsonella","Erichsonella attenuata","Crustacean",0,1,4,1,0,0,0,0,0,NA,"2007","04","12"
"66",NA,2007-04-12,"Goodwin's","Offshore","E1",NA,"Erichsonella","Erichsonella attenuata","Crustacean",0,1,0,0,0,0,0,0,0,NA,"2007","04","12"
"67",NA,2007-04-12,"Goodwin's","Inshore","A1",NA,"Gammarus","Gammarus mucronatus","Crustacean",0,0,3,8,5,12,9,24,14,NA,"2007","04","12"
"68",NA,2007-04-12,"Goodwin's","Inshore","C1",NA,"Gammarus","Gammarus mucronatus","Crustacean",0,0,1,6,3,5,11,15,0,NA,"2007","04","12"
"69",NA,2007-04-12,"Goodwin's","Offshore","A1",NA,"Gammarus","Gammarus mucronatus","Crustacean",0,0,8,10,7,4,7,16,29,NA,"2007","04","12"
"70",NA,2007-04-12,"Goodwin's","Offshore","D1",NA,"gammarus","Gammarus mucronatus","Crustacean",0,1,7,17,7,5,10,9,18,NA,"2007","04","12"
"71",NA,2007-04-12,"Goodwin's","Offshore","E1",NA,"Gammarus","Gammarus mucronatus","Crustacean",0,2,8,24,19,17,12,18,11,NA,"2007","04","12"
"72",NA,2007-04-12,"Goodwin's","Inshore","B1",NA,"Gammarus mucronatus","Gammarus mucronatus","Crustacean",0,0,2,12,8,13,15,17,11,NA,"2007","04","12"
"73",NA,2007-04-12,"Goodwin's","Offshore","D1",NA,"Idotea","Idotea balthica","Crustacean",0,0,0,0,0,0,0,1,0,NA,"2007","04","12"
"74",NA,2007-04-12,"Goodwin's","Offshore","A1",NA,"P. tenuis","Paracaprella tenuis","Caprellid",0,0,0,0,0,0,0,11,16,NA,"2007","04","12"
"75",NA,2007-04-12,"Goodwin's","Offshore","D1",NA,"P. tenuis","Paracaprella tenuis","Caprellid",0,0,0,0,0,0,0,1,1,NA,"2007","04","12"
"76",NA,2007-04-12,"Goodwin's","Offshore","E1",NA,"P. tenuis","Paracaprella tenuis","Caprellid",0,0,0,0,0,0,4,2,5,NA,"2007","04","12"
"77",NA,2007-04-12,"Goodwin's","Inshore","C1",NA,"P. vulgaris","Palaemonetes vulgaris","Crustacean",0,0,1,0,0,0,0,0,0,NA,"2007","04","12"
"78",NA,2007-04-12,"Goodwin's","Offshore","D1",NA,"Palaemonetes vulgaris","Palaemonetes vulgaris","Crustacean",0,1,0,0,0,0,0,0,0,NA,"2007","04","12"
"79",NA,2007-05-07,"Goodwin's","Inshore","B1",NA,"A. longimana","Ampithoe longimana","Crustacean",0,0,0,0,0,0,0,0,1,NA,"2007","05","07"
"80",NA,2007-05-07,"Goodwin's","Inshore","D1",NA,"A. valida","Ampithoe valida","Crustacean",0,0,0,0,0,0,1,2,7,NA,"2007","05","07"
"81",NA,2007-05-07,"Goodwin's","Inshore","E1",NA,"A. valida","Ampithoe valida","Crustacean",0,0,0,0,1,0,0,0,0,NA,"2007","05","07"
"82",NA,2007-05-07,"Goodwin's","Offshore","C1",NA,"A. valida","Ampithoe valida","Crustacean",0,0,0,0,0,0,2,2,10,NA,"2007","05","07"
"83",NA,2007-05-07,"Goodwin's","Offshore","D1",NA,"A. valida","Ampithoe valida","Crustacean",0,0,0,0,0,3,8,13,11,NA,"2007","05","07"
"84",NA,2007-05-07,"Goodwin's","Offshore","E1",NA,"A. valida","Ampithoe valida","Crustacean",0,0,0,0,2,0,2,4,8,NA,"2007","05","07"
"85",NA,2007-05-07,"Goodwin's","Inshore","B1",NA,"bittium","Bittiolum varium","Mollusc",0,0,0,0,1,5,1,0,0,NA,"2007","05","07"
"86",NA,2007-05-07,"Goodwin's","Inshore","D1",NA,"Bittium","Bittiolum varium","Mollusc",0,0,0,0,0,2,0,0,0,NA,"2007","05","07"
"87",NA,2007-05-07,"Goodwin's","Inshore","E1",NA,"Bittium","Bittiolum varium","Mollusc",0,0,0,0,0,1,0,0,0,NA,"2007","05","07"
"88",NA,2007-05-07,"Goodwin's","Offshore","C1",NA,"Bittium","Bittiolum varium","Mollusc",0,0,0,0,0,6,2,0,0,NA,"2007","05","07"
"89",NA,2007-05-07,"Goodwin's","Offshore","D1",NA,"bittium","Bittiolum varium","Mollusc",0,0,0,0,1,3,0,0,0,NA,"2007","05","07"
"90",NA,2007-05-07,"Goodwin's","Offshore","E1",NA,"bittium","Bittiolum varium","Mollusc",0,0,0,0,1,8,1,0,0,NA,"2007","05","07"
"91",NA,2007-05-07,"Goodwin's","Offshore","C1",NA,"C. equilibria","Caprella equilibra","Caprellid",0,0,0,0,0,0,0,4,5,NA,"2007","05","07"
"92",NA,2007-05-07,"Goodwin's","Inshore","B1",NA,"C. penantis","Caprella penantis","Caprellid",0,0,0,1,0,0,1,2,0,NA,"2007","05","07"
"93",NA,2007-05-07,"Goodwin's","Inshore","D1",NA,"C. penantis","Caprella penantis","Caprellid",0,0,0,2,4,1,0,1,1,NA,"2007","05","07"
"94",NA,2007-05-07,"Goodwin's","Inshore","E1",NA,"C. penantis","Caprella penantis","Caprellid",0,0,0,0,1,1,1,1,1,NA,"2007","05","07"
"95",NA,2007-05-07,"Goodwin's","Offshore","C1",NA,"C. penantis","Caprella penantis","Caprellid",0,0,0,0,5,6,5,4,7,NA,"2007","05","07"
"96",NA,2007-05-07,"Goodwin's","Offshore","D1",NA,"C. penantis","Caprella penantis","Caprellid",0,0,1,0,8,0,7,7,7,NA,"2007","05","07"
"97",NA,2007-05-07,"Goodwin's","Offshore","E1",NA,"C. penantis","Caprella penantis","Caprellid",0,0,0,2,3,5,9,4,3,NA,"2007","05","07"
"98",NA,2007-05-07,"Goodwin's","Inshore","B1",NA,"crepidula","Crepidula fornicata","Mollusc",0,0,0,3,1,3,0,0,0,NA,"2007","05","07"
"99",NA,2007-05-07,"Goodwin's","Inshore","D1",NA,"Crepidula","Crepidula fornicata","Mollusc",0,0,0,1,0,4,0,0,0,NA,"2007","05","07"
"100",NA,2007-05-07,"Goodwin's","Inshore","E1",NA,"Crepidula","Crepidula fornicata","Mollusc",0,0,0,0,0,1,0,0,0,NA,"2007","05","07"
"101",NA,2007-05-07,"Goodwin's","Offshore","C1",NA,"Crepidula","Crepidula fornicata","Mollusc",0,0,1,1,9,2,0,0,0,NA,"2007","05","07"
"102",NA,2007-05-07,"Goodwin's","Offshore","D1",NA,"Crepidula","Crepidula fornicata","Mollusc",0,0,1,2,7,2,0,0,0,NA,"2007","05","07"
"103",NA,2007-05-07,"Goodwin's","Offshore","E1",NA,"crepidula","Crepidula fornicata","Mollusc",0,0,0,0,4,5,0,0,0,NA,"2007","05","07"
"104",NA,2007-05-07,"Goodwin's","Inshore","E1",NA,"Cymadusa","Cymadusa compta","Crustacean",0,0,0,0,0,0,0,1,6,NA,"2007","05","07"
"105",NA,2007-05-07,"Goodwin's","Offshore","C1",NA,"Cymadusa","Cymadusa compta","Crustacean",0,0,0,0,0,0,1,0,6,NA,"2007","05","07"
"106",NA,2007-05-07,"Goodwin's","Offshore","D1",NA,"Cymadusa","Cymadusa compta","Crustacean",0,0,0,0,0,0,0,1,3,NA,"2007","05","07"
"107",NA,2007-05-07,"Goodwin's","Inshore","B1",NA,"Elasmopis","Elasmopus levis","Crustacean",0,0,0,0,0,0,0,1,0,NA,"2007","05","07"
"108",NA,2007-05-07,"Goodwin's","Offshore","E1",NA,"Elasmopis","Elasmopus levis","Crustacean",0,0,0,0,0,0,0,1,0,NA,"2007","05","07"
"109",NA,2007-05-07,"Goodwin's","Inshore","B1",NA,"Erichsonella","Erichsonella attenuata","Crustacean",0,0,1,1,0,0,1,2,14,NA,"2007","05","07"
"110",NA,2007-05-07,"Goodwin's","Inshore","D1",NA,"Erichsonella","Erichsonella attenuata","Crustacean",0,0,2,2,0,0,1,3,2,NA,"2007","05","07"
"111",NA,2007-05-07,"Goodwin's","Inshore","E1",NA,"Erichsonella","Erichsonella attenuata","Crustacean",0,0,1,0,1,0,1,0,1,NA,"2007","05","07"
"112",NA,2007-05-07,"Goodwin's","Offshore","C1",NA,"Erichsonella","Erichsonella attenuata","Crustacean",0,1,1,2,0,1,0,0,0,NA,"2007","05","07"
"113",NA,2007-05-07,"Goodwin's","Offshore","D1",NA,"Erichsonella","Erichsonella attenuata","Crustacean",0,0,2,0,0,0,1,0,1,NA,"2007","05","07"
"114",NA,2007-05-07,"Goodwin's","Offshore","E1",NA,"Erichsonella","Erichsonella attenuata","Crustacean",0,3,0,2,0,0,0,0,0,NA,"2007","05","07"
"115",NA,2007-05-07,"Goodwin's","Inshore","B1",NA,"Gammarus","Gammarus mucronatus","Crustacean",0,0,1,6,19,28,23,30,0,NA,"2007","05","07"
"116",NA,2007-05-07,"Goodwin's","Inshore","D1",NA,"Gammarus","Gammarus mucronatus","Crustacean",0,0,0,3,4,17,16,26,14,NA,"2007","05","07"
"117",NA,2007-05-07,"Goodwin's","Inshore","E1",NA,"Gammarus","Gammarus mucronatus","Crustacean",0,0,0,2,6,23,12,41,47,NA,"2007","05","07"
"118",NA,2007-05-07,"Goodwin's","Offshore","C1",NA,"gammarus","Gammarus mucronatus","Crustacean",0,0,2,7,31,27,25,21,27,NA,"2007","05","07"
"119",NA,2007-05-07,"Goodwin's","Offshore","D1",NA,"Gammarus","Gammarus mucronatus","Crustacean",0,0,2,4,6,15,23,16,23,NA,"2007","05","07"
"120",NA,2007-05-07,"Goodwin's","Offshore","E1",NA,"Gammarus","Gammarus mucronatus","Crustacean",0,0,0,7,19,10,12,18,17,NA,"2007","05","07"
"121",NA,2007-05-07,"Goodwin's","Offshore","C1",NA,"P. tenuis","Paracaprella tenuis","Caprellid",0,0,0,0,0,0,0,0,2,NA,"2007","05","07"
"122",NA,2007-05-07,"Goodwin's","Offshore","E1",NA,"P. tenuis","Paracaprella tenuis","Caprellid",0,0,0,0,0,0,0,1,7,NA,"2007","05","07"
"123",NA,2007-06-21,"Goodwin's","Inshore","A1",NA,"A. longimana","Ampithoe longimana","Crustacean",0,0,0,0,1,1,0,1,0,NA,"2007","06","21"
"124",NA,2007-06-21,"Goodwin's","Inshore","B1",NA,"A. longimana","Ampithoe longimana","Crustacean",0,0,0,0,1,2,3,6,1,NA,"2007","06","21"
"125",NA,2007-06-21,"Goodwin's","Inshore","C1",NA,"A. longimana","Ampithoe longimana","Crustacean",0,0,0,0,1,0,1,5,2,NA,"2007","06","21"
"126",NA,2007-06-21,"Goodwin's","Offshore","C1",NA,"A. longimana","Ampithoe longimana","Crustacean",0,0,0,0,0,2,4,0,1,NA,"2007","06","21"
"127",NA,2007-06-21,"Goodwin's","Offshore","D1",NA,"A. longimana","Ampithoe longimana","Crustacean",0,0,0,0,1,0,0,0,2,NA,"2007","06","21"
"128",NA,2007-06-21,"Goodwin's","Inshore","A1",NA,"A. valida","Ampithoe valida","Crustacean",0,0,0,0,3,9,9,6,11,NA,"2007","06","21"
"129",NA,2007-06-21,"Goodwin's","Inshore","B1",NA,"A. valida","Ampithoe valida","Crustacean",0,0,0,1,0,2,6,13,10,NA,"2007","06","21"
"130",NA,2007-06-21,"Goodwin's","Inshore","C1",NA,"A. valida","Ampithoe valida","Crustacean",0,0,0,0,0,0,0,4,7,NA,"2007","06","21"
"131",NA,2007-06-21,"Goodwin's","Offshore","C1",NA,"A. valida","Ampithoe valida","Crustacean",0,0,0,3,3,18,20,18,17,NA,"2007","06","21"
"132",NA,2007-06-21,"Goodwin's","Offshore","D1",NA,"A. valida","Ampithoe valida","Crustacean",0,0,0,3,3,8,10,3,13,NA,"2007","06","21"
"133",NA,2007-06-21,"Goodwin's","Inshore","A1",NA,"Bittium","Bittiolum varium","Mollusc",0,0,0,0,0,1,0,1,1,NA,"2007","06","21"
"134",NA,2007-06-21,"Goodwin's","Inshore","B1",NA,"Bittium","Bittiolum varium","Mollusc",0,0,0,0,1,0,0,0,0,NA,"2007","06","21"
"135",NA,2007-06-21,"Goodwin's","Inshore","C1",NA,"Bittium","Bittiolum varium","Mollusc",0,0,0,0,0,0,0,1,0,NA,"2007","06","21"
"136",NA,2007-06-21,"Goodwin's","Offshore","A1",NA,"Bittium","Bittiolum varium","Mollusc",0,0,0,0,3,1,1,0,0,NA,"2007","06","21"
"137",NA,2007-06-21,"Goodwin's","Offshore","C1",NA,"Bittium","Bittiolum varium","Mollusc",0,0,0,0,1,3,0,1,0,NA,"2007","06","21"
"138",NA,2007-06-21,"Goodwin's","Offshore","A1",NA,"C. equilibria","Caprella equilibra","Caprellid",0,0,0,0,0,0,0,1,0,NA,"2007","06","21"
"139",NA,2007-06-21,"Goodwin's","Inshore","A1",NA,"C. penantis","Caprella penantis","Caprellid",0,0,0,0,7,9,6,0,0,NA,"2007","06","21"
"140",NA,2007-06-21,"Goodwin's","Inshore","B1",NA,"C. penantis","Caprella penantis","Caprellid",0,0,0,0,1,0,0,1,0,NA,"2007","06","21"
"141",NA,2007-06-21,"Goodwin's","Inshore","C1",NA,"C. penantis","Caprella penantis","Caprellid",0,0,0,0,0,0,0,1,0,NA,"2007","06","21"
"142",NA,2007-06-21,"Goodwin's","Offshore","A1",NA,"C. penantis","Caprella penantis","Caprellid",0,0,0,0,1,3,0,3,0,NA,"2007","06","21"
"143",NA,2007-06-21,"Goodwin's","Offshore","C1",NA,"C. penantis","Caprella penantis","Caprellid",0,0,0,0,1,0,6,1,0,NA,"2007","06","21"
"144",NA,2007-06-21,"Goodwin's","Offshore","D1",NA,"C. penantis","Caprella penantis","Caprellid",0,0,0,1,0,1,0,0,0,NA,"2007","06","21"
"145",NA,2007-06-21,"Goodwin's","Inshore","A1",NA,"Corophium","Corophium sp.","Crustacean",0,0,0,0,0,0,0,3,1,NA,"2007","06","21"
"146",NA,2007-06-21,"Goodwin's","Inshore","B1",NA,"Corophium","Corophium sp.","Crustacean",0,0,0,0,0,0,0,0,1,NA,"2007","06","21"
"147",NA,2007-06-21,"Goodwin's","Offshore","C1",NA,"Corophium","Corophium sp.","Crustacean",0,0,0,0,0,0,0,0,2,NA,"2007","06","21"
"148",NA,2007-06-21,"Goodwin's","Inshore","A1",NA,"crepidula","Crepidula fornicata","Mollusc",0,0,0,0,7,18,24,51,23,NA,"2007","06","21"
"149",NA,2007-06-21,"Goodwin's","Inshore","B1",NA,"Crepidula","Crepidula fornicata","Mollusc",0,0,0,0,1,9,7,2,0,NA,"2007","06","21"
"150",NA,2007-06-21,"Goodwin's","Inshore","C1",NA,"Crepidula","Crepidula fornicata","Mollusc",0,0,0,0,0,2,0,3,0,NA,"2007","06","21"
"151",NA,2007-06-21,"Goodwin's","Offshore","A1",NA,"Crepidula","Crepidula fornicata","Mollusc",0,0,0,0,3,10,2,1,1,NA,"2007","06","21"
"152",NA,2007-06-21,"Goodwin's","Offshore","C1",NA,"Crepidula","Crepidula fornicata","Mollusc",0,0,0,1,4,19,20,11,3,NA,"2007","06","21"
"153",NA,2007-06-21,"Goodwin's","Offshore","D1",NA,"Crepidula","Crepidula fornicata","Mollusc",0,0,0,0,4,10,6,3,0,NA,"2007","06","21"
"154",NA,2007-06-21,"Goodwin's","Inshore","A1",NA,"Cymadusa","Cymadusa compta","Crustacean",0,0,0,0,4,9,11,10,24,NA,"2007","06","21"
"155",NA,2007-06-21,"Goodwin's","Inshore","B1",NA,"Cymadusa","Cymadusa compta","Crustacean",0,0,2,4,12,32,24,17,20,NA,"2007","06","21"
"156",NA,2007-06-21,"Goodwin's","Inshore","C1",NA,"Cymadusa","Cymadusa compta","Crustacean",0,0,0,3,13,22,28,44,57,NA,"2007","06","21"
"157",NA,2007-06-21,"Goodwin's","Offshore","A1",NA,"Cymadusa","Cymadusa compta","Crustacean",0,0,0,3,8,24,13,17,18,NA,"2007","06","21"
"158",NA,2007-06-21,"Goodwin's","Offshore","C1",NA,"Cymadusa","Cymadusa compta","Crustacean",0,0,0,0,1,5,9,7,8,NA,"2007","06","21"
"159",NA,2007-06-21,"Goodwin's","Offshore","D1",NA,"Cymadusa","Cymadusa compta","Crustacean",0,0,0,0,0,1,5,2,6,NA,"2007","06","21"
"160",NA,2007-06-21,"Goodwin's","Inshore","C1",NA,"Edotea","Edotia triloba","Crustacean",0,0,0,0,0,0,0,0,1,NA,"2007","06","21"
"161",NA,2007-06-21,"Goodwin's","Inshore","B1",NA,"Elasmopis","Elasmopus levis","Crustacean",0,0,0,0,0,2,6,7,8,NA,"2007","06","21"
"162",NA,2007-06-21,"Goodwin's","Inshore","A1",NA,"elasmopus","Elasmopus levis","Crustacean",0,0,0,0,0,0,0,0,1,NA,"2007","06","21"
"163",NA,2007-06-21,"Goodwin's","Inshore","C1",NA,"Elasmopus","Elasmopus levis","Crustacean",0,0,0,0,0,0,0,7,0,NA,"2007","06","21"
